日期|+|变更类型|+|应用系统|+|工单状态|+|COUNT(*)
2016-06-14|+|常规变更|+|金卡系统|+|已关闭|+|2
2016-06-08|+|常规变更|+|用户安全平台|+|待归档|+|1
2016-06-07|+|常规变更|+|数据中心网络系统|+|已关闭|+|14
2016-06-13|+|常规变更|+|公文处理平台|+|待归档|+|1
2016-06-07|+|常规变更|+|外部数据接入前置系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|新风控系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|第三方支付系统|+|已关闭|+|3
2016-06-06|+|常规变更|+|监管查控系统|+|待归档|+|1
2016-06-20|+|常规变更|+|银保通系统|+|已关闭|+|1
2016-06-24|+|常规变更|+|MDS系统|+|已关闭|+|1
2016-06-23|+|常规变更|+|村镇银行信贷系统|+|任务实施|+|1
2016-06-17|+|常规变更|+|基础环境基础服务平台|+|待归档|+|1
2016-06-27|+|常规变更|+|客户回单系统|+|任务分解|+|1
2016-06-24|+|常规变更|+|办公网络IMC平台|+|任务实施|+|1
2016-06-22|+|常规变更|+|金卡系统|+|变更审批|+|1
2016-06-20|+|常规变更|+|零售及小微决策分析系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|零售及小微决策分析系统|+|已关闭|+|1
2016-07-06|+|常规变更|+|xBank1.0系统|+|任务实施|+|1
2016-07-04|+|紧急变更|+|银保通系统|+|组织审批|+|1
2016-07-04|+|常规变更|+|移动运营数据平台|+|草稿|+|1
2016-06-06|+|常规变更|+|数据中心网络系统|+|已关闭|+|11
2016-06-17|+|常规变更|+|村镇银行EUSP系统|+|任务分解|+|1
2016-06-15|+|常规变更|+|基础公共硬件服务|+|任务实施|+|1
2016-06-15|+|常规变更|+|数据中心网络系统|+|待归档|+|1
2016-06-15|+|常规变更|+|总行办公网络环境|+|已关闭|+|1
2016-06-15|+|常规变更|+|银保通系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|vmware虚拟化平台|+|已关闭|+|1
2016-06-13|+|常规变更|+|(null)|+|待归档|+|1
2016-06-15|+|常规变更|+|BPM系统|+|草稿|+|1
2016-06-07|+|常规变更|+|客服应用门户系统|+|任务实施|+|1
2016-06-20|+|常规变更|+|客户回单系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|金卡系统|+|待归档|+|1
2016-06-22|+|常规变更|+|xBank2.0系统|+|已作废|+|1
2016-06-27|+|常规变更|+|房地产资金监管系统|+|待归档|+|1
2016-06-29|+|常规变更|+|MDS系统|+|已关闭|+|2
2016-07-01|+|常规变更|+|xBank2.0系统|+|任务实施|+|2
2016-06-20|+|常规变更|+|(null)|+|任务实施|+|1
2016-06-30|+|常规变更|+|客服营销系统|+|任务实施|+|1
2016-07-01|+|常规变更|+|(null)|+|已作废|+|2
2016-06-06|+|常规变更|+|办公网络IMC平台|+|已关闭|+|1
2016-06-13|+|常规变更|+|基础公共硬件服务|+|已关闭|+|3
2016-06-08|+|紧急变更|+|网络交易平台资金托管系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|统一考核系统|+|已关闭|+|1
2016-06-14|+|常规变更|+|数据中心网络系统|+|待归档|+|2
2016-06-30|+|常规变更|+|非现场稽核FXJH|+|任务实施|+|1
2016-06-28|+|紧急变更|+|代理业务平台|+|任务分解|+|1
2016-06-21|+|紧急变更|+|村镇银行EUSP系统|+|已关闭|+|1
2016-06-29|+|常规变更|+|数据中心网络系统|+|待归档|+|4
2016-06-22|+|常规变更|+|CITRIX平台系统|+|已关闭|+|1
2016-07-05|+|常规变更|+|(null)|+|任务实施|+|2
2016-06-30|+|常规变更|+|PE系统|+|已关闭|+|1
2016-07-05|+|常规变更|+|CITRIX平台系统|+|任务实施|+|2
2016-06-06|+|常规变更|+|文件服务器系统|+|已关闭|+|1
2016-06-06|+|常规变更|+|乐收银综合商务平台|+|已关闭|+|1
2016-06-14|+|常规变更|+|办公网络IMC平台|+|任务实施|+|3
2016-06-13|+|紧急变更|+|审计平台系统|+|已关闭|+|1
2016-06-16|+|常规变更|+|移动应用管理平台|+|任务实施|+|1
2016-06-12|+|常规变更|+|生产历史数据管理平台|+|已关闭|+|1
2016-06-13|+|常规变更|+|理财业务管理系统SAM|+|待归档|+|1
2016-06-27|+|常规变更|+|NPS系统|+|待归档|+|1
2016-06-21|+|常规变更|+|新网银系统|+|待归档|+|1
2016-07-01|+|常规变更|+|安保客户安全平台|+|变更初审|+|1
2016-06-13|+|常规变更|+|OA系统|+|已关闭|+|1
2016-06-08|+|常规变更|+|交易产品核心Kondor系统|+|待归档|+|1
2016-06-12|+|常规变更|+|PE系统|+|已关闭|+|2
2016-06-16|+|常规变更|+|办公网络IMC平台|+|任务实施|+|1
2016-06-20|+|常规变更|+|微信银行系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|RMDS|+|任务实施|+|1
2016-06-20|+|常规变更|+|基础环境基础服务平台|+|变更评估|+|1
2016-06-22|+|常规变更|+|数据中心网络系统|+|任务实施|+|1
2016-06-21|+|紧急变更|+|收单反欺诈风控系统|+|待归档|+|1
2016-07-05|+|常规变更|+|IT运维管理系统|+|任务实施|+|1
2016-06-17|+|常规变更|+|渠道服务总线|+|已关闭|+|1
2016-06-15|+|常规变更|+|数据生命周期管理|+|任务实施|+|1
2016-06-12|+|常规变更|+|移动办公系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|移动支付业务管理系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|对公结售汇系统|+|已关闭|+|1
2016-06-27|+|紧急变更|+|(null)|+|已关闭|+|1
2016-06-29|+|紧急变更|+|运营管控系统|+|待归档|+|1
2016-06-29|+|常规变更|+|(null)|+|变更初审|+|1
2016-06-08|+|紧急变更|+|个人外汇交易平台|+|已关闭|+|1
2016-06-14|+|常规变更|+|FDM系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|(null)|+|已关闭|+|1
2016-06-13|+|常规变更|+|金融IC卡系统|+|已关闭|+|1
