日期|+|XBANK事件工单|+|机构号|+|机构|+|归属模块|+|工单状态|+|COUNT(*)
2016-06-01|+|Xbank事件工单|+|0000|+|总行团队|+|xBank2.0系统|+|已关闭|+|11
2016-06-01|+|Xbank事件工单|+|0101|+|总行营业部|+|xBank2.0系统|+|已关闭|+|5
2016-06-01|+|Xbank事件工单|+|0112|+|北京国贸支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0124|+|北京东单支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0129|+|北京三元支行|+|新二代支付系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0134|+|北京电子城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0136|+|北京西二环支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0137|+|北京西长安街支行|+|xBank2.0系统|+|已关闭|+|3
2016-06-01|+|Xbank事件工单|+|0138|+|北京空港支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0140|+|北京建国门外支行|+|总行国库信息处理系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0142|+|北京航天桥支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0143|+|北京中关村西区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0146|+|北京首体南路支行|+|银保通系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0148|+|北京东二环支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|01IH|+|北京龙湖唐宁万社区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0234|+|上海漕河泾支行|+|安保基础服务平台|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0237|+|上海滨江支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0245|+|上海南汇支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-01|+|Xbank事件工单|+|0247|+|上海七宝支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0247|+|上海七宝支行|+|安保基础服务平台|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0258|+|上海逸仙支行|+|NPS系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0258|+|上海逸仙支行|+|xBank2.0系统|+|已关闭|+|4
2016-06-01|+|Xbank事件工单|+|0322|+|广州科技园支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0372|+|佛山禅城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0613|+|大连华南广场支行|+|xBank2.0系统|+|已关闭|+|3
2016-06-01|+|Xbank事件工单|+|0700|+|杭州分行|+|NPS系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0711|+|杭州涌金支行|+|PE系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0717|+|杭州下沙支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0805|+|南京城东支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|0906|+|太原亲贤街支行|+|PE系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|1105|+|重庆渝中支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|1113|+|重庆冉家坝支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|1120|+|重庆茶园新区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|1203|+|西安高新开发区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|1208|+|西安西大街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|1215|+|西安枫林绿洲支行|+|银保通系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|1516|+|福州闽侯支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-01|+|Xbank事件工单|+|15D7|+|福州海润花园社区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|1616|+|济南张庄路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|1807|+|深圳宝安支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|1809|+|深圳南山支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|1814|+|深圳黄金珠宝支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-01|+|Xbank事件工单|+|1824|+|深圳华强支行|+|代理业务平台|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|2300|+|泉州分行|+|BPP系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|2300|+|泉州分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|2720|+|青岛胶州李哥庄支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|2803|+|温州鹿城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|2902|+|厦门江头支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|2909|+|厦门前埔支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|3009|+|郑州紫荆支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|3102|+|长沙香樟路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|3103|+|长沙人民路支行|+|总行国库信息处理系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|3104|+|长沙星沙支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-01|+|Xbank事件工单|+|3105|+|长沙高桥支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|3605|+|邯郸联纺路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|4006|+|NAT|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|4603|+|中山三乡支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-01|+|Xbank事件工单|+|5002|+|襄阳襄城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-01|+|Xbank事件工单|+|5509|+|南宁江南支行|+|NPS系统|+|已关闭|+|1
